gate,time
12310,51.682257
22629,94.002087
43457,260.953681
84774,571.487401
198669,734.477957
264459,1392.146509
422736,2398.928823
565300,4632.666643
6334,5.732761
19003,23.541972
50990,89.721138
127093,311.929179
2374,1.393864
27742,29.474334
295238,785.734305
2616832,17968.65679
7547,6.012564
30257,25.408285
120999,154.124557
483783,968.381283
64787,156.245611
149580,440.491501
338295,1306.679363
755142,3592.702334
6549,4.281401
28030,33.233682
115500,207.161116
462578,1393.072817
10487,4.60252
18437,8.989236
29523,20.672767
44297,31.973422
