config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm.eval"", ",75818,0,12327,0,98,44.318172,43.895847,492
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm.eval"", ",138443,0,22643,0,111,75.96885,75.28255,877
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm.eval"", ",262724,0,43498,0,107,151.00566,149.75722,1627
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm.eval"", ",510137,0,84839,0,127,293.08716,290.8715,3172
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm.eval"", ",361603,0,198742,0,54,298.09613,295.62704,3691
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm.eval"", ",553603,0,264610,0,78,577.99493,573.74786,6175
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm.eval"", ",946801,0,424127,0,98,1083.1743,1075.6821,10942
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm.eval"", ",1298801,0,569038,0,138,1684.6027,1673.2552,16440
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm.eval"", ",8968,0,6327,0,25,5.512723,5.4345984,81
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm.eval"", ",27136,0,19004,0,29,20.134054,19.9595,260
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm.eval"", ",72646,0,51003,0,28,52.486675,52.09357,700
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm.eval"", ",180497,0,127194,0,38,152.74321,151.68747,1796
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm.eval"", ",5796,0,2381,0,31,1.5472324,1.4970065,51
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm.eval"", ",68558,0,27758,0,42,27.81972,27.446861,510
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm.eval"", ",680376,0,295325,0,54,316.79132,313.51398,5329
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm.eval"", ",5954308,0,2618480,0,58,2692.6885,2669.6123,44546
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm.eval"", ",8476,0,7545,0,21,5.331128,5.286755,90
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm.eval"", ",31267,0,30257,0,15,14.484743,14.430794,231
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm.eval"", ",136320,0,121041,0,22,70.521286,70.13811,1121
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm.eval"", ",545008,0,483891,0,24,274.7511,273.51086,4381
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm.eval"", ",111956,0,65063,0,37,83.25575,82.657875,986
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm.eval"", ",258725,0,150558,0,37,215.52864,214.20331,2219
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm.eval"", ",585234,0,340356,0,48,507.519,504.64313,5396
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm.eval"", ",1306507,0,759861,0,50,1243.6515,1237.0182,12505
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm.eval"", ",32147,0,6549,0,51,6.116432,5.9153295,213
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm.eval"", ",134632,0,27998,0,89,31.346323,30.573294,905
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm.eval"", ",546035,0,115549,0,95,133.82317,131.25508,3606
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm.eval"", ",2175747,0,462661,0,90,488.67575,480.94778,13392
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm.eval"", ",29800,0,10485,0,41,4.8903294,4.6755447,235
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm.eval"", ",48448,0,18427,0,63,8.658415,8.32104,386
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm.eval"", ",72600,0,29513,0,49,12.717819,12.309431,584
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm.eval"", ",102768,0,44276,0,46,18.780077,18.181622,835
