config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,51581,12770,11892,79,1.764823,0.71129894,3366
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,95330,23484,22370,79,2.3364787,0.9026329,6256
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,182096,44795,43252,67,3.1295784,1.3281938,11855
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,354866,87321,84902,72,4.7530475,2.2869244,23090
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,183802,221483,145992,39,3.889578,2.218028,20122
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,252000,303250,181329,44,5.376838,3.0560842,28047
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,431200,480596,269482,53,8.271546,4.890902,46187
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,579200,642449,348763,60,11.263,6.9633307,63713
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,5230,6599,4301,31,0.51841676,0.22335461,655
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,16321,20650,13692,32,0.7895391,0.37803435,2003
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,44457,55894,37090,38,1.5938871,0.80921644,5820
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,111623,142535,94887,40,3.1344793,1.7940775,15005
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,4492,2431,1955,43,0.5020616,0.2193566,349
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,53482,28283,22867,47,1.4411414,0.5755345,4156
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,532270,301797,245624,53,6.946535,3.8433838,42207
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,4706828,2689738,2209362,66,48.404243,32.23793,372107
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,5971,7760,5859,18,0.26177147,0.13370135,468
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,24279,31222,24261,7,0.13042556,0.10271714,621
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,98979,125827,97667,24,1.3679407,0.9333362,7803
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,396907,503523,391844,28,4.247497,3.280464,30297
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,58994,82396,46017,29,1.40471,0.724051,5395
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,136013,192068,106825,30,2.4278975,1.4020146,11903
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,307108,437495,242496,30,4.5137644,2.8338284,26242
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,684630,982163,542765,31,8.640594,5.9727244,57100
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,28036,6771,5990,61,1.0882255,0.38334283,1757
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,124312,28810,26848,80,2.2232957,0.8985594,7680
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,521130,117948,113223,76,5.774943,2.971495,32163
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,2117808,470762,459840,85,18.346397,11.224089,131088
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,15975,10561,9387,36,0.6563337,0.25547665,1406
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,26927,18613,16762,50,0.97170126,0.39728785,2400
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,41687,29816,27143,40,1.1416671,0.48522505,3695
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,60767,44734,41093,46,1.3645055,0.63041973,5344
