config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm.eval"", ",75818,0,12351,0,94,31.735294,31.258673,968
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm.eval"", ",138443,0,22714,0,108,58.429424,57.602985,1737
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm.eval"", ",262724,0,43541,0,120,110.45545,109.03163,3238
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm.eval"", ",510137,0,84942,0,130,215.64526,213.14716,6303
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm.eval"", ",361603,0,200001,0,71,253.11958,249.9107,8337
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm.eval"", ",553603,0,269030,0,90,497.90887,491.9877,14691
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm.eval"", ",946801,0,446257,0,104,811.2401,802.5168,23431
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm.eval"", ",1298801,0,599351,0,85,1035.7427,1024.9722,29387
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm.eval"", ",8968,0,6342,0,38,5.581253,5.481201,195
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm.eval"", ",27136,0,19098,0,34,17.28622,17.01589,590
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm.eval"", ",72646,0,51392,0,35,48.588963,47.98847,1606
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm.eval"", ",180497,0,128327,0,39,119.74381,118.45229,3867
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm.eval"", ",5796,0,2384,0,40,1.877482,1.7968328,109
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm.eval"", ",68558,0,27790,0,52,23.52012,23.037409,1021
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm.eval"", ",680376,0,295700,0,55,250.58624,247.06459,10576
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm.eval"", ",5954308,0,2623660,0,63,2159.2036,2133.6868,90158
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm.eval"", ",8476,0,7554,0,18,3.3465066,3.2999556,135
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm.eval"", ",31267,0,30257,0,17,11.235765,11.150403,459
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm.eval"", ",136320,0,121134,0,25,53.572414,53.162567,2212
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm.eval"", ",545008,0,484259,0,24,215.99823,214.57993,8848
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm.eval"", ",111956,0,65751,0,51,79.408325,78.36324,2484
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm.eval"", ",258725,0,155258,0,55,191.92372,189.87297,5782
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm.eval"", ",585234,0,358281,0,55,433.09543,428.88586,12987
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm.eval"", ",1306507,0,811735,0,56,975.26874,966.2628,29143
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm.eval"", ",32147,0,6550,0,76,6.7673798,6.501795,427
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm.eval"", ",134632,0,28162,0,96,31.029243,30.189013,1774
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm.eval"", ",546035,0,115786,0,86,115.809044,113.331894,6737
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm.eval"", ",2175747,0,462699,0,96,451.9624,443.30536,26719
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm.eval"", ",29800,0,10488,0,53,5.5978584,5.343446,452
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm.eval"", ",48448,0,18433,0,56,9.752043,9.371139,747
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm.eval"", ",72600,0,29515,0,64,14.885115,14.3357,1154
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm.eval"", ",102768,0,44305,0,51,21.07306,20.407385,1642
