config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", omega: 50, ",75818,0,12476,0,129,1.9879634,1.1386966,3797
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", omega: 100, ",75818,0,12421,0,113,2.3245902,1.4480371,1905
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", omega: 200, ",75818,0,12351,0,94,3.5503762,2.6956158,968
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", omega: 400, ",75818,0,12327,0,98,10.36563,9.4477,492
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", omega: 800, ",75818,0,12314,0,78,28.759253,27.931479,243
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", omega: 50, ",138443,0,22887,0,142,2.7546105,1.5315374,6963
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", omega: 100, ",138443,0,22776,0,128,3.035768,1.8642035,3493
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", omega: 200, ",138443,0,22714,0,108,4.5574327,3.4463124,1737
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", omega: 400, ",138443,0,22643,0,111,12.161205,11.0402975,877
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", omega: 800, ",138443,0,22619,0,81,30.607937,29.667507,438
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", omega: 50, ",262724,0,43851,0,123,3.7808301,2.1369727,12957
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", omega: 100, ",262724,0,43702,0,130,3.9197812,2.4091856,6510
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", omega: 200, ",262724,0,43541,0,120,5.7930255,4.2994065,3238
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", omega: 400, ",262724,0,43498,0,107,12.173031,10.736399,1627
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", omega: 800, ",262724,0,43469,0,126,48.179028,46.74771,817
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", omega: 50, ",510137,0,85433,0,140,6.170662,3.6819859,25497
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", omega: 100, ",510137,0,85170,0,130,5.4591937,3.3319056,12654
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", omega: 200, ",510137,0,84942,0,130,7.5789504,5.677379,6303
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", omega: 400, ",510137,0,84839,0,127,15.04462,13.209357,3172
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", omega: 800, ",510137,0,84791,0,118,46.753315,44.775627,1602
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", omega: 50, ",361603,0,224093,0,51,6.380803,3.3674412,29539
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", omega: 100, ",361603,0,212706,0,71,6.177283,3.0100982,17177
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", omega: 200, ",361603,0,200001,0,71,6.880972,4.123289,8337
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", omega: 400, ",361603,0,198742,0,54,8.816228,6.6285744,3691
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", omega: 800, ",361603,0,198629,0,54,18.697813,16.470173,1871
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", omega: 50, ",553603,0,309698,0,63,8.524301,4.781454,42755
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", omega: 100, ",553603,0,293362,0,74,8.563278,4.2513666,25233
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", omega: 200, ",553603,0,269030,0,90,12.069885,7.3488646,14691
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", omega: 400, ",553603,0,264610,0,78,16.40166,12.899492,6175
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", omega: 800, ",553603,0,263713,0,69,34.899734,31.675243,2895
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", omega: 50, ",946801,0,492121,0,72,13.869921,8.338206,73559
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", omega: 100, ",946801,0,465840,0,85,13.57849,7.268242,44349
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", omega: 200, ",946801,0,446257,0,104,17.258326,11.376113,23431
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", omega: 400, ",946801,0,424127,0,98,26.880919,21.525703,10942
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", omega: 800, ",946801,0,423319,0,77,51.8818,48.092167,4864
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", omega: 50, ",1298801,0,661662,0,83,23.436718,16.705236,104731
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", omega: 100, ",1298801,0,624797,0,92,17.030523,10.5147505,55321
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", omega: 200, ",1298801,0,599351,0,85,20.246836,14.168355,29387
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", omega: 400, ",1298801,0,569038,0,138,41.457592,34.822186,16440
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", omega: 800, ",1298801,0,565673,0,103,76.919815,71.54418,7130
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 50, ",8968,0,6637,0,41,0.74400926,0.30141458,952
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 100, ",8968,0,6416,0,41,0.822369,0.38580462,414
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 200, ",8968,0,6342,0,38,1.0896571,0.7870144,195
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 400, ",8968,0,6327,0,25,1.757431,1.5588435,81
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", omega: 800, ",8968,0,6331,0,18,3.9711366,3.8157945,38
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 50, ",27136,0,20732,0,39,1.0933233,0.5282188,2639
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 100, ",27136,0,19451,0,40,1.1615961,0.52653885,1250
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 200, ",27136,0,19098,0,34,1.4271,0.84559053,590
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 400, ",27136,0,19004,0,29,2.4658284,2.014603,260
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", omega: 800, ",27136,0,18999,0,30,7.751838,7.3432775,118
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 50, ",72646,0,56479,0,41,2.248395,1.194313,7225
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", omega: 100, ",72646,0,52784,0,43,1.9002979,0.8920442,3531
