config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,51581,15863,11796,63,142.08205,140.1259,1278
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,95330,28831,22673,69,160.87329,158.15071,2402
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,182096,53741,43225,86,206.01752,202.31596,4537
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,354866,103357,84272,83,215.79292,210.91289,8921
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,183802,281828,155216,24,84.94145,82.62012,5589
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,252000,419468,211264,25,110.91609,108.046616,7757
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,431200,691324,366935,25,154.23422,150.21455,13029
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,579200,946135,494654,25,188.38182,184.1069,16965
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,5230,8110,5116,12,27.068254,26.723043,133
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,16321,24524,16045,14,31.800312,31.23543,438
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,44457,65634,43906,14,32.61004,31.92881,1067
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,111623,163052,110501,15,52.282753,51.33948,2761
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,4492,3804,2956,39,83.19209,81.97246,175
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,53482,47025,36959,47,104.767456,101.68385,2149
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,532270,483378,375707,42,200.51765,193.93509,15599
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,4706828,4310472,3390523,60,1141.1713,1119.9054,126205
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,5971,8476,5971,4,8.957173,8.786412,60
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,24279,31263,24279,6,13.474752,13.250098,251
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,98979,136320,98979,4,9.379722,9.159634,990
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,396907,545008,396907,4,36.172913,36.043247,3970
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,58994,85852,48595,23,53.533165,52.26827,1558
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,136013,198305,111964,23,71.2123,69.48446,3631
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,307108,448418,252658,25,113.0566,110.341774,8194
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,684630,1000835,562955,24,192.60312,188.9562,18143
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,28036,6706,5945,66,136.64302,134.89351,691
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,124312,28388,26465,84,176.74908,173.66205,3078
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,521130,115916,111284,94,239.20497,233.32521,12778
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,2117808,463637,452844,93,555.33246,542.2636,51981
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,15975,11132,9635,29,62.74384,61.758453,444
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,26927,19436,17123,30,65.30898,64.170044,766
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,41687,30972,27667,40,85.85999,84.509544,1137
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,60767,46252,41779,29,63.41414,61.962788,1682
