config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,51581,16403,10226,264,569.16986,562.1067,2180
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,95330,29049,18625,342,747.91034,736.80084,4960
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,182096,54123,35258,512,1122.3397,1104.561,10389
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,354866,103962,68335,631,1429.3754,1396.19,28375
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,183802,283393,147774,64,225.45865,217.05714,13663
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,252000,416716,198380,88,318.7292,306.16177,20189
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,431200,691309,349281,262,798.4796,773.4277,31621
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,579200,937298,469363,110,542.0844,526.2028,40355
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,5230,8109,5107,19,41.5426,41.103527,145
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,16321,24523,15699,27,61.11011,59.89778,846
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,44457,65634,43212,27,62.643856,60.92124,2165
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,111623,163052,109874,26,75.54139,73.59208,3839
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,4492,3847,2549,35,75.71956,74.54384,203
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,53482,47711,31256,86,192.44913,187.3456,3817
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,532270,484813,323347,116,599.0862,576.289,49295
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,4706828,4315346,2958063,138,3850.2043,3738.0337,443925
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,5971,8590,5281,84,186.45132,183.68987,974
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,24279,31757,18606,218,491.41388,479.97342,8551
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,98979,138289,87072,170,397.10892,382.5933,17984
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,396907,551651,356091,763,1851.6359,1785.568,61236
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,58994,85956,47851,32,74.90812,72.34867,2592
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,136013,198626,111049,34,101.73831,98.61556,4509
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,307108,449192,251179,30,126.01877,121.95567,9180
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,684630,1002408,560367,31,220.88347,215.50082,19761
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,28036,6714,5674,89,184.77692,182.61333,699
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,124312,28403,25634,76,161.22896,158.101,3050
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,521130,115945,109228,104,260.631,254.27426,12832
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,2117808,463694,447731,108,581.6465,566.89246,52173
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,15975,10149,6755,585,1255.2288,1234.6401,5240
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,26927,17780,12280,638,1370.5477,1342.83,8928
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,41687,28647,20594,530,1151.4819,1121.7045,13249
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,60767,42790,31655,584,1275.9795,1241.7284,19534
