config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,0,12347,0,101,4.0010147,3.0914934,976
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,0,22710,0,114,4.7092752,3.5560467,1755
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,0,43551,0,127,5.999245,4.4710407,3264
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,0,84921,0,138,7.906968,5.9015155,6391
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,0,200173,0,74,6.753696,4.114903,8153
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,0,269409,0,90,11.8176365,7.2573795,14369
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,0,447804,0,95,16.819227,10.83573,22561
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,0,599690,0,93,20.208735,13.494169,28907
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,0,6335,0,32,1.0207323,0.6836639,209
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,0,19090,0,38,1.6415653,0.97427297,602
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,0,51381,0,42,2.4121425,1.3968768,1652
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,0,128413,0,44,3.8083968,2.3243268,4197
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,0,2387,0,51,0.93312156,0.66156626,111
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,0,27783,0,55,1.7891635,1.0755538,1031
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,0,295782,0,55,5.942483,3.5364504,10530
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,0,2623609,0,62,35.189915,24.575993,90356
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,0,7553,0,18,0.54413664,0.381411,137
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,0,30257,0,16,0.56531966,0.37637758,451
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,0,121133,0,26,1.5944196,1.0165948,2222
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,0,484250,0,24,4.158471,2.8206365,8932
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,0,65199,0,56,3.991779,2.3861394,3070
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,0,151402,0,80,8.560964,4.9791512,8714
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,0,351670,0,82,15.289051,9.064895,19747
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,0,806394,0,77,26.441986,16.871792,41341
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,0,6550,0,84,1.5602814,1.0137682,427
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,0,28121,0,94,2.6789818,1.4418831,1836
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,0,115788,0,93,3.936862,2.2185383,6737
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,0,462699,0,93,9.612919,5.7182918,26655
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,0,10507,0,58,0.96289444,0.5088221,456
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,0,18442,0,58,1.191133,0.56158614,759
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,0,29570,0,58,1.3845208,0.6165026,1152
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,0,44330,0,60,1.5033629,0.7232376,1624
