config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",0,0,0,0,0,0.0,0.0,0
