config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,0,16127,0,85,94.54019,93.638535,984
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,0,28578,0,88,104.355644,103.29983,1757
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,0,53861,0,87,129.83772,128.50159,3276
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,0,103545,0,108,216.5161,214.54442,6307
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,0,279386,0,32,175.36636,173.47498,6971
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,0,434985,0,33,259.31726,256.85333,10561
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,0,722458,0,33,404.6474,401.78247,16283
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,0,973272,0,33,524.99176,521.46857,22133
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,0,7640,0,22,22.800436,22.5835,151
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,0,23061,0,24,27.900055,27.5029,470
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,0,61738,0,25,45.56698,44.99143,1268
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,0,153195,0,26,85.28664,84.32762,3163
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,0,4237,0,35,34.672802,34.364822,127
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,0,54437,0,34,56.144962,55.280758,1421
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,0,577567,0,34,297.61276,295.42188,11704
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,0,5202203,0,40,2336.536,2327.4663,94088
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,0,7789,0,19,19.470432,19.262403,121
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,0,31263,0,7,8.253889,8.219983,165
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,0,125271,0,23,57.673,57.113968,1900
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,0,500858,0,22,190.2727,189.27092,7502
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,0,83028,0,25,51.724636,51.03664,1578
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,0,192151,0,27,102.95064,101.92339,3648
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,0,434711,0,27,211.27415,209.62128,8127
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,0,970592,0,28,449.6724,447.102,18027
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,0,7527,0,73,75.35401,74.70433,467
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,0,30873,0,87,108.10708,106.75022,1902
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,0,122833,0,90,222.32796,219.85152,7141
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,0,481436,0,101,703.1401,698.03986,27641
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,0,15604,0,34,37.27149,36.84802,440
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,0,26188,0,34,39.770138,39.25598,689
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,0,40669,0,35,45.61892,44.951046,1048
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,0,59134,0,30,53.493526,52.792244,1464
