config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n28.qasm"", ",75818,0,12362,0,117,4.1926165,3.304754,956
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n30.qasm"", ",138443,0,22703,0,103,4.4882483,3.4393516,1725
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n32.qasm"", ",262724,0,43556,0,120,5.6276336,4.2447248,3282
"circuit_path: ""${BENCHMARK_DIR}/nwq_boolean_satisfaction_n34.qasm"", ",510137,0,84943,0,146,8.053103,6.00797,6375
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n17.qasm"", ",361603,0,199875,0,65,6.6970334,3.9887438,8301
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n21.qasm"", ",553603,0,268864,0,96,12.254051,7.5725093,14407
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n25.qasm"", ",946801,0,449689,0,98,17.253857,11.169856,22977
"circuit_path: ""${BENCHMARK_DIR}/nwq_binary_welded_tree_n29.qasm"", ",1298801,0,604964,0,105,21.386835,14.0015,29493
"circuit_path: ""${BENCHMARK_DIR}/grover_n9_from_python.qasm"", ",8968,0,6353,0,30,0.9344455,0.6513183,191
"circuit_path: ""${BENCHMARK_DIR}/grover_n11_from_python.qasm"", ",27136,0,19072,0,33,1.4079928,0.85981005,596
"circuit_path: ""${BENCHMARK_DIR}/grover_n13_from_python.qasm"", ",72646,0,51425,0,39,2.3091595,1.3660643,1596
"circuit_path: ""${BENCHMARK_DIR}/grover_n15_from_python.qasm"", ",180497,0,128585,0,38,3.2094998,2.0166373,3669
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python.qasm"", ",5796,0,2388,0,51,0.91587335,0.66562545,111
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python.qasm"", ",68558,0,27758,0,48,1.6375973,0.9724827,1039
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python.qasm"", ",680376,0,295827,0,53,5.8526673,3.4690228,10662
"circuit_path: ""${BENCHMARK_DIR}/hhl_n13_from_python.qasm"", ",5954308,0,2625353,0,63,35.18216,24.274797,91124
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n10_from_python.qasm"", ",8476,0,7551,0,19,0.5596721,0.36693773,139
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n12_from_python.qasm"", ",31267,0,30257,0,16,0.5444853,0.3778663,443
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n14_from_python.qasm"", ",136320,0,121132,0,21,1.4229529,0.89240175,2204
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python.qasm"", ",545008,0,484264,0,25,3.9807646,2.6770744,8822
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", ",111956,0,65143,0,43,2.6141818,1.681134,2020
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", ",258725,0,151113,0,48,4.1613183,2.659129,4678
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", ",585234,0,342305,0,51,7.607049,4.8793426,10697
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", ",1306507,0,765809,0,54,14.298255,9.754502,24327
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", ",32147,0,6552,0,75,1.4080133,0.91196704,427
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", ",134632,0,28206,0,122,2.9821386,1.8128233,1792
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", ",546035,0,115798,0,82,3.6316435,2.1427324,6693
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n8.qasm"", ",2175747,0,462700,0,95,9.576708,5.9939094,26671
"circuit_path: ""${BENCHMARK_DIR}/vqe_n18_from_python.qasm"", ",29800,0,10500,0,51,0.8784594,0.4482757,458
"circuit_path: ""${BENCHMARK_DIR}/vqe_n22_from_python.qasm"", ",48448,0,18443,0,54,1.0950383,0.5357202,753
"circuit_path: ""${BENCHMARK_DIR}/vqe_n26_from_python.qasm"", ",72600,0,29545,0,60,1.2932187,0.6140771,1150
"circuit_path: ""${BENCHMARK_DIR}/vqe_n30_from_python.qasm"", ",102768,0,44293,0,56,1.4449401,0.6855625,1658
