config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 100, ",111956,0,73468,0,58,2.9651926,1.3415846,5932
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 200, ",111956,0,65199,0,56,3.983264,2.3953993,3070
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 300, ",111956,0,64907,0,44,3.9944582,2.8627949,1550
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 400, ",111956,0,65093,0,38,4.5145864,3.5506816,1022
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 500, ",111956,0,64996,0,34,5.1157384,4.1509833,810
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 600, ",111956,0,64948,0,35,6.2222395,5.343488,671
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 700, ",111956,0,64955,0,33,7.0050273,6.1614857,548
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 800, ",111956,0,64935,0,36,8.76815,7.8160243,488
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 900, ",111956,0,64873,0,39,10.5826435,9.582612,437
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1000, ",111956,0,64953,0,32,9.892111,9.047295,384
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1200, ",111956,0,64925,0,35,13.103924,12.198593,332
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1400, ",111956,0,64855,0,37,16.067986,15.215656,268
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1600, ",111956,0,64810,0,41,20.850975,19.729353,258
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1800, ",111956,0,64771,0,37,21.520117,20.528948,209
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 2000, ",111956,0,64813,0,25,16.467035,15.669362,178
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 100, ",258725,0,172865,0,59,4.9186025,2.3684428,13186
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 200, ",258725,0,151402,0,80,8.197096,4.9152994,8714
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 300, ",258725,0,150279,0,58,7.373696,5.395105,3893
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 400, ",258725,0,150654,0,46,7.6428156,6.096124,2429
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 500, ",258725,0,150072,0,47,9.728805,8.158276,1890
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 600, ",258725,0,150055,0,39,9.610178,8.238674,1552
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 700, ",258725,0,149993,0,44,11.811294,10.226844,1316
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 800, ",258725,0,149814,0,44,13.166516,11.746999,1124
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 900, ",258725,0,149922,0,39,13.746811,12.174049,994
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1000, ",258725,0,149748,0,45,16.82764,15.352288,907
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1200, ",258725,0,149926,0,39,17.685087,16.376902,708
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1400, ",258725,0,149843,0,36,19.731606,18.46095,639
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1600, ",258725,0,149714,0,44,27.133652,25.743603,566
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1800, ",258725,0,149764,0,36,25.855328,24.417643,492
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 2000, ",258725,0,149699,0,43,33.900696,32.5999,442
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 100, ",585234,0,398640,0,61,9.155696,4.467128,28793
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 200, ",585234,0,351670,0,82,14.812016,9.058736,19747
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 300, ",585234,0,340414,0,62,13.715101,10.0829735,9657
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 400, ",585234,0,339687,0,51,13.968609,11.368528,5894
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 500, ",585234,0,339835,0,47,15.626796,13.18705,4351
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 600, ",585234,0,339347,0,46,17.755728,15.5774555,3506
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 700, ",585234,0,339249,0,40,18.71965,16.533562,2979
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 800, ",585234,0,339166,0,43,21.02263,18.795013,2596
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 900, ",585234,0,338859,0,41,22.720856,20.553392,2301
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1000, ",585234,0,338917,0,43,25.482819,23.365683,2048
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1200, ",585234,0,338865,0,40,27.518438,25.578316,1682
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1400, ",585234,0,338647,0,36,26.255028,24.310328,1389
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1600, ",585234,0,338753,0,41,31.752483,29.644371,1264
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1800, ",585234,0,338612,0,42,36.971756,34.823723,1120
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 2000, ",585234,0,338537,0,40,39.3367,37.43838,989
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 100, ",1306507,0,906074,0,61,16.190634,8.881619,61218
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 200, ",1306507,0,806394,0,77,25.384148,16.891293,41341
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 300, ",1306507,0,760108,0,85,29.97097,23.114422,24482
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 400, ",1306507,0,758796,0,60,28.678576,24.070646,14367
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 500, ",1306507,0,758593,0,49,30.099655,26.173239,10066
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 600, ",1306507,0,757804,0,50,34.031784,30.373001,7920
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 700, ",1306507,0,757386,0,47,37.105576,33.776287,6675
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 800, ",1306507,0,756715,0,44,39.149254,35.8992,5770
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 900, ",1306507,0,756829,0,44,42.727047,39.15711,5146
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1000, ",1306507,0,756290,0,48,46.222992,42.730686,4617
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1200, ",1306507,0,756410,0,48,52.6657,49.571907,3817
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1400, ",1306507,0,756036,0,47,56.983547,53.742496,3246
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1600, ",1306507,0,755242,0,45,57.573536,54.60946,2749
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1800, ",1306507,0,755950,0,48,66.89868,63.4767,2518
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 2000, ",1306507,0,755582,0,40,65.619316,62.539463,2216
