config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 100, ",111956,0,66402,0,48,2.096481,1.0028564,4180
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 200, ",111956,0,65143,0,43,2.5980194,1.6593722,2020
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 300, ",111956,0,65249,0,37,3.2903376,2.423406,1288
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 400, ",111956,0,65097,0,39,4.39742,3.5824654,944
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 500, ",111956,0,65005,0,41,5.5637736,4.7359676,732
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 600, ",111956,0,64989,0,36,6.048828,5.239197,599
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 700, ",111956,0,64967,0,37,7.2930703,6.4732604,522
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 800, ",111956,0,64923,0,35,8.068847,7.3259506,444
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 900, ",111956,0,64925,0,33,8.536234,7.833162,403
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1000, ",111956,0,64959,0,36,10.4872675,9.624294,384
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1200, ",111956,0,64931,0,36,12.651217,11.83867,302
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1400, ",111956,0,64877,0,30,12.623568,11.844955,262
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1600, ",111956,0,64839,0,44,20.938572,20.07738,248
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 1800, ",111956,0,64827,0,32,17.931332,17.036186,207
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42.qasm"", omega: 2000, ",111956,0,64805,0,27,16.862444,16.09587,176
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 100, ",258725,0,155014,0,50,3.4493124,1.6964421,9474
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 200, ",258725,0,151113,0,48,4.163684,2.6342278,4678
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 300, ",258725,0,150576,0,44,5.4437423,4.046527,2967
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 400, ",258725,0,150558,0,44,7.081713,5.7027755,2183
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 500, ",258725,0,150266,0,47,9.107213,7.7896757,1720
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 600, ",258725,0,150083,0,40,9.056863,7.830381,1406
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 700, ",258725,0,150088,0,38,9.691161,8.521849,1216
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 800, ",258725,0,149992,0,34,10.095943,8.901303,1064
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 900, ",258725,0,150050,0,38,12.45359,11.186384,946
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1000, ",258725,0,149886,0,34,12.453564,11.2274,827
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1200, ",258725,0,149942,0,33,14.623692,13.469596,688
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1400, ",258725,0,149908,0,42,21.083746,19.91258,585
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1600, ",258725,0,149776,0,50,28.338583,26.977333,536
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 1800, ",258725,0,149708,0,30,20.877893,19.651098,466
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48.qasm"", omega: 2000, ",258725,0,149748,0,41,30.99397,29.68456,444
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 100, ",585234,0,353744,0,55,6.247317,3.3005126,20989
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 200, ",585234,0,342305,0,51,7.5134916,4.8316574,10697
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 300, ",585234,0,340533,0,44,9.263183,6.957773,6767
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 400, ",585234,0,340569,0,44,11.686358,9.523981,4956
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 500, ",585234,0,340067,0,40,13.367964,11.324471,3871
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 600, ",585234,0,339503,0,41,16.01965,14.021658,3218
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 700, ",585234,0,339410,0,41,16.953451,15.102168,2709
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 800, ",585234,0,339329,0,41,18.81221,16.960384,2370
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 900, ",585234,0,338959,0,35,18.58219,16.846893,2109
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1000, ",585234,0,339217,0,43,23.534481,21.560928,1912
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1200, ",585234,0,338885,0,34,22.791185,21.038918,1570
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1400, ",585234,0,338671,0,36,24.43511,22.694042,1321
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1600, ",585234,0,338861,0,41,30.183128,28.150846,1212
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 1800, ",585234,0,338711,0,44,35.51657,33.839893,1044
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54.qasm"", omega: 2000, ",585234,0,338605,0,35,32.529884,30.79973,945
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 100, ",1306507,0,798982,0,52,11.269872,6.4898124,45228
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 200, ",1306507,0,765809,0,54,14.357278,9.755332,24327
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 300, ",1306507,0,760238,0,52,17.75469,13.944628,15516
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 400, ",1306507,0,759994,0,45,21.566042,18.158348,11143
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 500, ",1306507,0,759750,0,45,26.15111,22.855227,8846
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 600, ",1306507,0,758316,0,47,30.31455,27.1908,7278
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 700, ",1306507,0,757848,0,41,32.33909,29.41806,6109
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 800, ",1306507,0,757292,0,42,34.325546,31.64604,5300
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 900, ",1306507,0,757106,0,37,36.118126,33.328045,4728
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1000, ",1306507,0,756763,0,38,38.395504,35.488174,4275
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1200, ",1306507,0,756662,0,42,44.62448,41.803673,3547
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1400, ",1306507,0,756502,0,42,48.997265,46.13285,3006
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1600, ",1306507,0,755242,0,43,51.077824,48.636265,2559
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 1800, ",1306507,0,756414,0,39,55.271595,52.583572,2362
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60.qasm"", omega: 2000, ",1306507,0,755848,0,49,66.96072,64.30831,2092
