config,reduced_gates,reduced_depth,time
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,3.7775176
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,3.8393624
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",0,0,5.0399523
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",2,-1,9.341062
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",8,-2,20.305244
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",19,-4,39.315205
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,3.367589
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,3.8521066
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",0,0,5.391345
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",0,0,7.600508
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",1,0,13.252313
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",5,-2,34.29133
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,3.4080298
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,3.9105098
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",0,0,5.282518
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",0,0,7.7126284
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",1,0,11.844181
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",3,0,30.245556
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",0,0,3.5837984
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",0,0,4.3011227
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",0,0,5.1281233
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",0,0,7.1802216
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",0,0,11.264113
