config,reduced_gates,reduced_depth,time
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",14304,4895,13.838117
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",14377,4984,18.406483
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",14442,5048,38.129677
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",14574,5128,61.1412
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",14673,5230,116.03932
"omega: 6, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",14719,5256,252.94998
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",11814,4229,31.018183
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",14275,4861,34.71689
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",14330,4908,39.75492
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",14405,5000,61.749214
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",14518,5103,121.754745
"omega: 6, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",14648,5197,268.58917
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",14345,4895,17.858511
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",14471,5026,19.225595
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",15074,5648,58.102493
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",15658,6272,101.00441
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",16104,6681,190.53224
"omega: 10, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",16938,7463,665.82556
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",905,338,12.671733
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",13674,4705,46.05367
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",14347,4894,49.78601
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",14513,5067,63.878456
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",14814,5395,113.34973
"omega: 10, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",15742,6388,476.6848
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",14321,4883,24.378698
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",14391,4947,24.684484
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",14963,5543,38.0872
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",16399,7081,136.66255
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",17600,8256,295.6627
"omega: 15, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",17868,8468,488.39383
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",7,0,8.3783
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",5448,1960,45.874012
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",14319,4879,64.10171
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",14379,4931,63.53324
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",14917,5561,115.24322
"omega: 15, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",16837,7497,657.3664
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",13486,4656,37.91047
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",14347,4895,37.142548
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",14546,5087,34.015583
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",15079,5645,57.17008
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",16437,7096,150.26733
"omega: 25, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",17473,8169,259.4514
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",1,0,6.6591206
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",51,24,9.227814
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",12694,4420,119.526115
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",14335,4889,109.255165
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",14512,5077,123.7621
"omega: 25, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",15478,6091,308.20352
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.1"", ",1709,534,19.920376
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.2"", ",13683,4711,67.33381
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""0.5"", ",14361,4912,69.08
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""1"", ",14543,5090,66.97514
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""2"", ",15151,5700,118.7533
"omega: 40, ecc_path: ""resources/Nam_5_3_complete_ECC_set.json"", timeout: ""5"", ",16131,6748,330.22495
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.1"", ",3,0,7.1184654
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.2"", ",3,0,7.1300197
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""0.5"", ",3163,1119,80.05289
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""1"", ",14222,4857,238.88371
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""2"", ",14346,4890,200.2745
"omega: 40, ecc_path: ""resources/Nam_6_3_complete_ECC_set.json"", timeout: ""5"", ",14644,5241,224.94852
