config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",1869,1455,30.0512
"omega: 6, timeout: ""5"", ",1870,1454,62.846447
"omega: 6, timeout: ""10"", ",1870,1454,117.557785
"omega: 6, timeout: ""20"", ",1870,1454,221.94745
"omega: 10, timeout: ""2"", ",1921,1495,32.423874
"omega: 10, timeout: ""5"", ",1919,1477,74.54996
"omega: 10, timeout: ""10"", ",1922,1474,144.73326
"omega: 10, timeout: ""20"", ",1923,1476,285.20892
"omega: 15, timeout: ""2"", ",1924,1524,30.758436
"omega: 15, timeout: ""5"", ",1935,1547,65.14459
"omega: 15, timeout: ""10"", ",1944,1558,129.77632
"omega: 15, timeout: ""20"", ",1949,1545,245.0141
"omega: 20, timeout: ""2"", ",1924,1556,35.7984
"omega: 20, timeout: ""5"", ",1930,1538,60.120014
"omega: 20, timeout: ""10"", ",1946,1582,125.75131
"omega: 20, timeout: ""20"", ",1953,1593,225.47429
"omega: 25, timeout: ""2"", ",1911,1524,27.083298
"omega: 25, timeout: ""5"", ",1928,1558,50.24822
"omega: 25, timeout: ""10"", ",1941,1562,115.39877
"omega: 25, timeout: ""20"", ",1949,1589,205.28284
