config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",1258,1206,38.628433
"omega: 6, timeout: ""5"", ",1261,1206,89.57853
"omega: 6, timeout: ""10"", ",1261,1206,175.1043
"omega: 6, timeout: ""20"", ",1261,1206,345.15848
"omega: 10, timeout: ""2"", ",1248,1213,32.554287
"omega: 10, timeout: ""5"", ",1314,1283,80.05948
"omega: 10, timeout: ""10"", ",1344,1314,134.99236
"omega: 10, timeout: ""20"", ",1354,1330,225.06757
"omega: 15, timeout: ""2"", ",1231,1205,29.528103
"omega: 15, timeout: ""5"", ",1285,1244,75.39396
"omega: 15, timeout: ""10"", ",1324,1276,166.31564
"omega: 15, timeout: ""20"", ",1355,1301,265.73532
"omega: 20, timeout: ""2"", ",1200,1140,43.013943
"omega: 20, timeout: ""5"", ",1268,1219,85.90725
"omega: 20, timeout: ""10"", ",1339,1249,197.0393
"omega: 20, timeout: ""20"", ",1364,1276,286.61432
"omega: 25, timeout: ""2"", ",1213,1156,47.483315
"omega: 25, timeout: ""5"", ",1249,1202,76.256096
"omega: 25, timeout: ""10"", ",1308,1244,176.96333
"omega: 25, timeout: ""20"", ",1377,1279,327.12375
