config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",1207,413,39.747143
"omega: 6, timeout: ""5"", ",1232,425,77.34523
"omega: 6, timeout: ""10"", ",1237,427,143.81895
"omega: 6, timeout: ""20"", ",1238,426,263.52258
"omega: 10, timeout: ""2"", ",1193,391,32.587097
"omega: 10, timeout: ""5"", ",1247,402,90.36258
"omega: 10, timeout: ""10"", ",1291,415,164.99721
"omega: 10, timeout: ""20"", ",1333,405,336.23953
"omega: 15, timeout: ""2"", ",1183,413,25.277012
"omega: 15, timeout: ""5"", ",1207,400,60.170284
"omega: 15, timeout: ""10"", ",1249,386,125.412994
"omega: 15, timeout: ""20"", ",1297,370,306.4485
"omega: 20, timeout: ""2"", ",1179,421,23.37141
"omega: 20, timeout: ""5"", ",1187,423,50.39622
"omega: 20, timeout: ""10"", ",1200,426,95.48531
"omega: 20, timeout: ""20"", ",1222,411,236.01265
"omega: 25, timeout: ""2"", ",1178,424,25.627956
"omega: 25, timeout: ""5"", ",1187,408,40.505398
"omega: 25, timeout: ""10"", ",1197,409,95.692154
"omega: 25, timeout: ""20"", ",1199,403,185.49435
