config,reduced_gates,reduced_depth,time
"omega: 6, timeout: ""2"", ",243,117,16.83663
"omega: 6, timeout: ""5"", ",246,124,37.928223
"omega: 6, timeout: ""10"", ",246,124,68.09327
"omega: 6, timeout: ""20"", ",246,124,128.00566
"omega: 10, timeout: ""2"", ",261,143,21.070786
"omega: 10, timeout: ""5"", ",273,158,43.2119
"omega: 10, timeout: ""10"", ",282,162,103.36735
"omega: 10, timeout: ""20"", ",287,165,183.34718
"omega: 15, timeout: ""2"", ",203,90,19.193262
"omega: 15, timeout: ""5"", ",267,150,43.41551
"omega: 15, timeout: ""10"", ",271,157,83.53815
"omega: 15, timeout: ""20"", ",280,162,163.61845
"omega: 20, timeout: ""2"", ",202,92,15.461582
"omega: 20, timeout: ""5"", ",202,92,33.474133
"omega: 20, timeout: ""10"", ",204,94,63.577316
"omega: 20, timeout: ""20"", ",204,94,123.392624
"omega: 25, timeout: ""2"", ",202,90,13.471338
"omega: 25, timeout: ""5"", ",202,88,28.704561
"omega: 25, timeout: ""10"", ",202,88,53.38817
"omega: 25, timeout: ""20"", ",206,94,103.541756
