name,gates,time
nwq_boolean_satisfaction_n28.qasm,12708,145.47460961341858
nwq_boolean_satisfaction_n30.qasm,23123,722.5013375282288
nwq_boolean_satisfaction_n32.qasm,43873,3055.006872653961
nwq_boolean_satisfaction_n34.qasm,85214,15952.592216730118
nwq_binary_welded_tree_n17.qasm,200140,12165.575926542282
nwq_binary_welded_tree_n21.qasm,269160,32549.33763551712
nwq_binary_welded_tree_n25.qasm,NA,86400.00151753426
nwq_binary_welded_tree_n29.qasm,NA,86400.00104141235
grover_n9_from_python.qasm,6330,5.7812371253967285
grover_n11_from_python.qasm,19012,63.755451679229736
grover_n13_from_python.qasm,51056,565.3466215133667
grover_n15_from_python.qasm,127237,3911.3197736740112
hhl_n7_from_python.qasm,3217,0.31565403938293457
hhl_n9_from_python.qasm,37941,151.12030744552612
hhl_n11_from_python.qasm,395557,33483.88416600227
hhl_n13_from_python.qasm,NA,86400.00078201294
shor_7_mod_15_n10_from_python.qasm,7539,5.427682876586914
shor_7_mod_15_n12_from_python.qasm,30255,106.57905793190002
shor_7_mod_15_n14_from_python.qasm,120947,2276.8680849075317
shor_7_mod_15_n16_from_python.qasm,483525,53486.13240504265
nwq_square_root_n42.qasm,64761,442.841148853302
nwq_square_root_n48.qasm,149558,3154.8506066799164
nwq_square_root_n54.qasm,338151,17854.00290465355
nwq_square_root_n60.qasm,NA,86400.00322556496
nwq_statevector_n5.qasm,6571,12.946595430374146
nwq_statevector_n6.qasm,28061,605.1407759189606
nwq_statevector_n7.qasm,115141,15272.948946714401
nwq_statevector_n8.qasm,NA,86400.00269556046
vqe_n18_from_python.qasm,10607,8.787394285202026
vqe_n22_from_python.qasm,18619,37.272008657455444
vqe_n26_from_python.qasm,29799,122.72577023506165
vqe_n30_from_python.qasm,44659,308.751460313797
